ID,Name,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Base_Stats,normal_weakness,fire_weakness,water_weakness,electric_weakness,grass_weakness,ice_weakness,fighting_weakness,poison_weakness,ground_weakness,flying_weakness,psychic_weakness,bug_weakness,rock_weakness,ghost_weakness,dragon_weakness,dark_weakness,steel_weakness,fairy_weakness,height_inches,height_meters,weight_pounds,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities,Type 1,Type 2,Classification_info,Forms,gen,Is_Legendary,Is_Mythical,Is_Ultra_Beast,number_immune,number_not_effective,number_normal,number_super_effective
1,Bulbasaur,45,49,49,65,65,45,318,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,204,0.7,15.2,6.9,45,88.1,5120,45,Chlorophyll; Overgrow,Grass,Poison,Seed,,1,0,0,0,0,5,9,4
2,Ivysaur,60,62,63,80,80,60,405,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,303,1.0,28.7,13.0,45,88.1,5120,45,Chlorophyll; Overgrow,Grass,Poison,Seed,,1,0,0,0,0,5,9,4
3,Venusaur,80,82,83,100,100,80,525,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,607,2.0,220.5,100.0,45,88.1,5120,45,Chlorophyll; Overgrow,Grass,Poison,Seed,Mega Venusaur,1,0,0,0,0,5,9,4
4,Charmander,39,52,43,60,50,65,309,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,200,0.6,18.7,8.5,45,88.1,5120,45,Blaze; Solar Power,Fire,,Lizard,,1,0,0,0,0,6,9,3
5,Charmeleon,58,64,58,80,65,80,405,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,307,1.1,41.9,19.0,45,88.1,5120,45,Blaze; Solar Power,Fire,,Flame,,1,0,0,0,0,6,9,3
6,Charizard,78,84,78,109,85,100,534,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,507,1.7,199.5,90.5,45,88.1,5120,45,Blaze; Solar Power,Fire,Flying,Flame,Mega Charizard X; Mega Charizard Y,1,0,0,0,1,6,8,3
7,Squirtle,44,48,65,50,64,43,314,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,108,0.5,19.8,9.0,45,88.1,5120,45,Rain Dish; Torrent,Water,,Tiny Turtle,,1,0,0,0,0,4,12,2
8,Wartortle,59,63,80,65,80,58,405,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,303,1.0,49.6,22.5,45,88.1,5120,45,Rain Dish; Torrent,Water,,Turtle,,1,0,0,0,0,4,12,2
9,Blastoise,79,83,100,85,105,78,530,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,503,1.6,188.5,85.5,45,88.1,5120,45,Rain Dish; Torrent,Water,,Shellfish,Mega Blastoise,1,0,0,0,0,4,12,2
10,Caterpie,45,30,35,20,20,45,195,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,100,0.3,6.4,2.9,255,5.0,3840,255,Available; Run Away; Shield Dust,Bug,,Worm,,1,0,0,0,0,3,12,3
11,Metapod,50,20,55,25,25,30,205,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,204,0.7,21.8,9.9,120,5.0,3840,120,Shed Skin,Bug,,Cocoon,,1,0,0,0,0,3,12,3
12,Butterfree,60,45,50,90,80,70,395,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,307,1.1,70.5,32.0,45,5.0,3840,45,Available; Compound Eyes; Tinted Lens,Bug,Flying,Butterfly,,1,0,0,0,1,3,9,5
